city,year,Ctnm,Cttyp,GDP,Gdpct01,Gdpct02,Gdpct03,GDP_PerCapita,GDP_PrimInd,GDP_SecInd,GDP_TerInd,Eect04,Eect05,Eect06,Eect08,Eect09,Eect10,Eect11,Eect12,wage,hpopu,urban,nightLight
1529,2015,阿拉善盟,地级市,322.58,3.726207452414905,67.9738359476719,28.2999565999132,133187.0,120200.0,2192700.0,912900.0,263.63,9.498,22.562,0.17,60.41,39.42,10.56,518060.0,55577.0,44.4914,94.58399963378906,0.0061615146274568
1501,2015,呼和浩特市,地级市,3090.52,4.084425921851339,28.05612000569483,67.85945407245383,101492.0,1262300.0,8670800.0,20972100.0,139.07,41.5684,61.8738,0.81,27.92,71.26,41.5,2227518.0,53698.0,238.5832,67.48899841308594,0.5859479230712722
1508,2015,巴彦淖尔市,地级市,887.43,18.66626100086767,50.77020159336511,30.56353740576721,52987.0,1656500.0,4505500.0,2712300.0,26.4,14.9266,13.9,12.83,22.44,64.73,14.78,757286.0,51169.0,174.6587,52.57300186157227,0.0221745959592308
1507,2015,呼伦贝尔市,地级市,1596.01,16.51994661687583,44.5467133664576,38.93334001666656,63131.0,2636600.0,7109700.0,6213800.0,10.25,37.8066,35.2636,26.23,25.69,48.08,41.95,2013647.0,48001.0,259.3015,70.84100341796875,0.0091192560428645
1506,2015,鄂尔多斯市,地级市,4226.13,2.341858863783178,56.78978166786161,40.86835946835521,207163.0,989700.0,24000100.0,17271500.0,18.1,33.2304,51.1708,0.81,30.74,68.46,27.34,2006123.0,73377.0,157.3204,73.1259994506836,0.1015950780024701
1502,2015,包头市,地级市,3721.93,2.714989266321505,48.37920111340085,48.90580962027765,132253.0,1010500.0,18006400.0,18202400.0,80.67,40.2221,98.469,0.66,53.31,46.03,38.36,2282799.0,59500.0,223.8642,82.65299987792969,0.2860583980156679
4510,2015,百色市,地级市,980.42,17.27,52.19,30.54,27365.0,1693800.0,5116800.0,2993600.0,114.09,21.8154,24.4324,1.44,27.84,70.72,21.32,1061695.0,49809.0,413.19,34.09999847412109,0.1082155673155405
6229,2015,临夏回族自治州,地级市,211.4087,17.1,21.2,61.7,10527.0,361386.0,448267.0,1304434.0,114.09,21.8154,24.4324,1.44,27.84,70.72,21.32,1061695.0,49809.0,225.023,34.09999847412109,0.0899644592999336
4504,2015,梧州市,地级市,1078.65,11.35,57.85,30.8,36106.0,1224400.0,6239600.0,3322500.0,273.28,19.3707,22.7349,0.19,39.97,59.83,17.09,812068.0,47517.0,343.92,49.7400016784668,0.1521716433913103
4506,2015,防城港市,地级市,620.71,12.2,56.87,30.93,67971.0,754900.0,3530000.0,1922300.0,153.9,10.8402,12.9004,11.0,29.89,59.11,7.5,385518.0,51432.0,95.61,55.13000106811523,0.2509420429266008
4513,2015,来宾市,地级市,557.93,24.49,39.1,36.41,25677.0,1368300.0,2180500.0,2030500.0,198.34,13.7925,24.1422,6.5,33.12,60.38,11.04,481413.0,43588.0,265.84,40.68000030517578,0.1480492920912512
4509,2015,玉林市,地级市,1445.91,17.9,43.97,38.13,25440.0,2591400.0,6358300.0,5509400.0,553.95,34.5645,26.2467,2.1,41.45,56.45,32.12,1530584.0,47658.0,710.73,46.5099983215332,0.3198333923097907
4505,2015,北海市,地级市,891.94,17.87,50.46,31.67,55239.0,1593500.0,4501300.0,2824600.0,515.43,14.6839,29.797,3.67,39.46,56.87,12.13,604104.0,49773.0,171.97,55.34000015258789,1.180648623821986
4508,2015,贵港市,地级市,865.2,20.11,40.28,39.61,20240.0,1739500.0,3485000.0,3427500.0,517.83,18.7053,24.4496,0.6,27.92,71.47,16.7,879473.0,52653.0,548.94,46.52000045776367,0.2115648374194054
4501,2015,南宁市,地级市,3410.08,10.86,39.46,49.68,49066.0,3711000.0,13451500.0,16938300.0,332.81,95.9514,89.6389,1.31,41.22,57.47,72.78,4857782.0,66749.0,740.23,59.29999923706055,0.707570613058133
4507,2015,钦州市,地级市,944.42,21.73,40.42,37.85,29560.0,2043700.0,3817500.0,3583100.0,332.18,20.8312,8.9497,1.45,43.86,54.69,19.17,913830.0,46703.0,404.1,37.02999877929688,0.293968059812044
4514,2015,崇左市,地级市,682.82,22.74,40.22,37.05,33355.0,1550600.0,2746100.0,2531500.0,143.66,13.695,14.8178,9.76,24.58,65.66,12.38,589782.0,47630.0,248.8,36.27999877929688,0.0822976109264697
4511,2015,贺州市,地级市,468.11,22.03,40.31,37.66,23178.0,1031400.0,1886800.0,1762900.0,204.2,9.9206,19.6146,1.52,19.15,79.33,8.91,497396.0,55799.0,239.79,42.63000106811523,0.0989328359582354
4503,2015,桂林市,地级市,1942.9,17.47,46.37,36.16,39327.0,3395900.0,9009800.0,7023300.0,190.23,44.3869,49.8822,1.11,39.76,59.13,40.22,2169061.0,53925.0,528.97,46.61999893188477,0.1468724032607611
4502,2015,柳州市,地级市,2298.62,7.33,56.56,36.11,58869.0,1671000.0,13001100.0,8314100.0,205.41,61.6538,70.0224,0.73,56.28,42.99,39.65,2350802.0,54223.0,381.62,62.11000061035156,0.3838188346996879
4512,2015,河池市,地级市,618.03,22.78,32.36,44.85,17841.0,1408100.0,2000100.0,2772100.0,126.96,18.7991,22.1529,1.78,24.61,73.6,16.68,894481.0,53638.0,424.54,35.08000183105469,0.0612050741488029
4417,2015,阳江市,地级市,1250.0077,16.43,45.13,38.45,49894.0,2053762.6511,5641284.750100002,4806279.606500001,367.02,23.6252,23.9686,1.71,47.06,51.24,22.37,1122479.0,50182.0,292.12,49.90999984741211,0.5676268695113896
4403,2015,深圳市,副省级市,17502.8634,0.04,41.18,58.78,157985.0,70011.4536,72076791.4812,102881831.0652,1777.67,459.9649,446.2211,0.01,61.0,38.98,452.0,36627244.0,81034.0,369.64,100.0,16.78664718734207
4401,2015,广州市,副省级市,18100.4136,1.25,31.64,67.11,136188.0,2262551.7,57269708.6304,121471875.6696,1148.78,320.3134,372.8859,0.04,35.24,64.72,306.45,24874876.0,81171.0,854.19,85.52999877929688,6.14467389440254
4415,2015,汕尾市,地级市,762.0631,15.49,45.76,38.75,25283.0,1180435.7419,3487200.7456,2952994.5125,737.92,24.0091,24.8841,1.66,60.21,38.13,23.3,1122065.0,48162.0,358.96,55.02999877929688,0.654349847354241
6207,2015,张掖市,地级市,373.5251,25.44,29.41,45.15,30704.0,950192.0,1098379.0,1686680.0,31.01,13.2205,9.5698,9.08,28.99,61.92,11.3,586658.0,51569.0,130.0726,42.18999862670898,0.0284634392215615
6212,2015,陇南市,地级市,315.1353,22.31,23.14,54.55,12172.0,703091.0,729324.0,1718938.0,102.73,16.32,4.33,4.11,22.67,73.22,14.13,651704.0,46132.0,285.7608,28.15999984741211,0.0388629100214164
6209,2015,酒泉市,地级市,544.7962,14.42,37.06,48.52,48918.0,785891.88,2018936.0,2643134.0,5.77,14.4744,10.347,4.73,41.93,53.34,12.8,703936.0,54778.0,101.317,56.86999893188477,0.0141802520290606
6206,2015,武威市,地级市,416.1873,23.98,36.65,39.37,22931.0,997860.0,1525441.8,1638571.0,57.16,12.8873,10.347,2.08,37.07,60.85,12.15,632087.0,52009.0,190.0427,35.92300033569336,0.0467544144727959
3509,2015,宁德市,地级市,1487.36,16.4,51.5,32.1,52006.0,2530900.0,7599600.0,4743100.0,259.44,31.0076,47.6062,0.57,48.5,50.93,27.43,1553494.0,56625.0,348.92,53.5,0.3371249969818017
3504,2015,三明市,地级市,1713.05,14.7,51.1,34.2,67978.0,2520800.0,8751600.0,5858000.0,123.67,24.5206,40.6523,1.67,38.44,59.88,21.2,1253747.0,59166.0,284.21,56.29999923706055,0.1545558536713736
3508,2015,龙岩市,地级市,1738.49,11.5,52.6,35.8,66865.0,2006200.0,9148200.0,6230500.0,162.09,30.5614,35.1266,1.27,38.5,60.23,27.83,1542620.0,55430.0,309.38,52.59999847412109,0.2085976375849089
3507,2015,南平市,地级市,1339.43,21.6,43.2,35.2,50929.0,2892300.0,5780900.0,4721100.0,121.77,24.816,38.4869,3.46,34.53,62.02,20.64,1310438.0,56381.0,319.86,54.0,0.114739119544012
3505,2015,泉州市,地级市,6137.71,2.7,60.3,37.0,72421.0,1784600.0,36797000.0,22795500.0,655.47,150.5631,120.6027,0.26,77.67,22.07,145.41,7858347.0,54044.0,722.45,63.59999847412109,2.419572475265278
3501,2015,福州市,地级市,5618.08,7.7,43.6,48.7,75259.0,4346900.0,24495500.0,27338300.0,534.91,156.277,122.8274,0.16,59.19,40.65,138.41,8647321.0,62478.0,678.37,67.69999694824219,1.744093898890802
4308,2015,张家界市,地级市,447.7004,11.58,22.76,65.66,29425.0,518437.0632,1018966.1104,2939600.8264,178.65,8.6737,8.798,0.85,23.7,75.45,8.65,400760.0,46340.0,169.97,44.61000061035156,0.0676717026538887
3503,2015,莆田市,地级市,1655.6,7.0,57.3,35.7,57888.0,1151200.0,9492900.0,5912000.0,832.73,49.7001,59.3218,0.08,71.2,28.72,44.19,2304253.0,52149.0,344.26,56.59999847412109,2.297706954443723
3506,2015,漳州市,地级市,2767.35,13.4,48.5,38.1,55569.0,3708700.0,13431200.0,10533600.0,389.75,55.1733,36.8958,3.32,59.14,37.53,44.46,2530948.0,56931.0,502.08,54.79999923706055,0.9742488692406543
4405,2015,汕头市,地级市,1868.0251,5.18,51.48,43.34,33732.0,967637.0018,9616593.214799998,8096020.7834,2501.14,54.7136,36.8958,0.08,60.17,39.74,51.87,2749816.0,52299.0,550.46,70.22000122070312,4.5505044446547
4402,2015,韶关市,地级市,1149.9806,13.19,37.48,49.33,39380.0,1516824.4114,4310127.2888,5672854.2998,179.23,33.9531,34.8466,0.51,51.24,48.25,32.12,1763947.0,54923.0,330.21,54.29000091552734,0.1814401706509213
4413,2015,惠州市,地级市,3140.0306,4.83,54.97,40.2,66231.0,1516634.7798,17260748.2082,12622923.012,314.65,91.8574,120.5669,0.1,70.18,29.72,89.52,5246337.0,58607.0,357.07,68.1500015258789,1.459556351695892
