city,year,Ctnm,Cttyp,GDP,Gdpct01,Gdpct02,Gdpct03,GDP_PerCapita,GDP_PrimInd,GDP_SecInd,GDP_TerInd,Eect04,Eect05,Eect06,Eect08,Eect09,Eect10,Eect11,Eect12,wage,hpopu,urban,nightLight
1201,2017,天津市,直辖市,18549.19,.9109,40.9376,58.1515,119238,1689600,75935930.6789,107866369.3211,,269.48,336.47,.23,43.43,56.34,231,23167447,96965,1049.99,82.93000030517578,5.32066559241175
1201,2018,天津市,直辖市,18809.64,.9,40.5,58.6,120711,1727100,76098091.40279999,110271208.5972,,259.99,205.8063,.19,38.91,60.89,243,25273300,103931,1081.63,83.15000152587891,5.46026748834596
1201,2019,天津市,直辖市,14104.28,1.31,35.23,63.46,90371,1852300,49691800,89498700,,269.35,335,.09,38.02,61.89,250,29259100,108002,1108.18,83.48000335693359,6.357404561631864
1309,2006,沧州市,地级市,1281.67,11.52,53.38,35.1,,1476500,6841600,4498600,491.6,46.22,25.9,2.64,39.53,57.83,45.57,773233,16968.03,689,37.5099983215332,.3067199324221298
1308,2006,承德市,地级市,428,17.74,52.46,29.79,,759400,2245300,1275200,91.97,23.77,9.707800000000001,2.73,34.03,63.23,24.17,362027,14978.36,337,34.34999847412109,.0222597054380528
1301,2006,石家庄市,地级市,2026.63,12.71,48.35,38.94,,2574900,9799700,7891700,592.8200000000001,87.11,30.4669,.53,40.37,59.1,86.33,1459934,16911.09,970,43.95999908447266,.5964688560485734
1311,2006,衡水市,地级市,546.99,17.99,51.88,30.13,,984000,2837900,1647900,479.4,21.44,30.14,.65,27.94,71.41,21.11,282089,13362.81,424,33.68000030517578,.1925456128891528
1302,2006,唐山市,地级市,2362.14,10.84,58.02,31.14,,2560000,13705800,7355600,533.79,75.16,30.2475,4.8,51.06,44.13,72.54000000000001,1417362,19539.04,733,48,.7978516425768022
1310,2006,廊坊市,地级市,729.87,14.7,55.85,29.46,,1072600,4076100,2150100,615.49,24.86,30.3037,.64,29.24,70.11,24.13,420969,17445.88,400,42.88999938964844,.9808808765904993
1303,2006,秦皇岛市,地级市,552.05,10.54,37.76,51.7,,581900,2084700,2853900,372.91,28.36,18.3373,.92,35.19,63.89,28.34,556839,19648.52,290,42.88999938964844,.6432297042900282
